id;instituicao;nome_categoria;categoria_instituicao
438;Guarda Municipal de Atalaia;Guarda Municipal;5
439;Guarda Municipal de Atalaia do Norte;Guarda Municipal;5
440;Guarda Municipal de Atalanta;Guarda Municipal;5
441;Guarda Municipal de Ataléia;Guarda Municipal;5
442;Guarda Municipal de Atibaia;Guarda Municipal;5
443;Guarda Municipal de Atilio Vivacqua;Guarda Municipal;5
444;Guarda Municipal de Augustinópolis;Guarda Municipal;5
445;Guarda Municipal de Augusto Corrêa;Guarda Municipal;5
446;Guarda Municipal de Augusto Pestana;Guarda Municipal;5
447;Guarda Municipal de Augusto Severo (Campo Grande);Guarda Municipal;5
448;Guarda Municipal de Augusto de Lima;Guarda Municipal;5
449;Guarda Municipal de Aurelino Leal;Guarda Municipal;5
450;Guarda Municipal de Auriflama;Guarda Municipal;5
451;Guarda Municipal de Aurilândia;Guarda Municipal;5
452;Guarda Municipal de Aurora;Guarda Municipal;5
453;Guarda Municipal de Aurora;Guarda Municipal;5
454;Guarda Municipal de Aurora do Pará;Guarda Municipal;5
455;Guarda Municipal de Aurora do Tocantins;Guarda Municipal;5
456;Guarda Municipal de Autazes;Guarda Municipal;5
457;Guarda Municipal de Avanhandava;Guarda Municipal;5
458;Guarda Municipal de Avaré;Guarda Municipal;5
459;Guarda Municipal de Avaí;Guarda Municipal;5
460;Guarda Municipal de Aveiro;Guarda Municipal;5
461;Guarda Municipal de Avelino Lopes;Guarda Municipal;5
462;Guarda Municipal de Avelinópolis;Guarda Municipal;5
463;Guarda Municipal de Axixá;Guarda Municipal;5
464;Guarda Municipal de Axixá do Tocantins;Guarda Municipal;5
465;Guarda Municipal de Açailândia;Guarda Municipal;5
466;Guarda Municipal de Açu;Guarda Municipal;5
467;Guarda Municipal de Açucena;Guarda Municipal;5
468;Guarda Municipal de Babaçulândia;Guarda Municipal;5
469;Guarda Municipal de Bacabal;Guarda Municipal;5
470;Guarda Municipal de Bacabeira;Guarda Municipal;5
471;Guarda Municipal de Bacuri;Guarda Municipal;5
472;Guarda Municipal de Bacurituba;Guarda Municipal;5
473;Guarda Municipal de Bady Bassitt;Guarda Municipal;5
474;Guarda Municipal de Baependi;Guarda Municipal;5
475;Guarda Municipal de Bagre;Guarda Municipal;5
476;Guarda Municipal de Bagé;Guarda Municipal;5
477;Guarda Municipal de Baianópolis;Guarda Municipal;5
